language,crawl_date,0
af,20200221,94
af,20200222,220
af,20200223,10
af,20200224,22
af,20200225,23
af,20200226,9
af,20200228,10
af,20200229,25
af,20200301,10
af,20200305,11
af,20200306,3
af,20200307,3
af,20200308,1
af,20200309,2
af,20200310,5
af,20200314,16
af,20200315,81
af,20200316,24
af,20200317,17
af,20200319,7
af,20200320,11
af,20200321,26
af,20200322,18
af,20200323,15
af,20200324,18
af,20200325,23
af,20200326,2
af,20200327,17
af,20200328,58
af,20200329,13
af,20200330,41
af,20200331,2
af,20200401,6
af,20200402,6
af,20200403,34
af,20200404,36
af,20200405,16
af,20200406,1
af,20200407,11
af,20200408,162
af,20200409,30
af,20200410,67
af,20200411,39
af,20200412,91
af,20200413,52
af,20200414,32
af,20200415,4
af,20200416,9
af,20200417,5
af,20200418,33
af,20200419,40
af,20200420,155
af,20200421,14
af,20200422,1
af,20200423,1
af,20200424,579
af,20200425,40
af,20200426,4
af,20200429,22
af,20200430,16
af,20200501,36
af,20200502,155
af,20200503,53
af,20200504,1
af,20200505,1
af,20200507,1
af,20200508,14
af,20200509,6
af,20200511,3
af,20200512,2
af,20200513,1
af,20200515,5
af,20200516,15
af,20200517,1
af,20200522,41
af,20200523,405
af,20200524,342
af,20200525,284
af,20200526,240
af,20200527,225
af,20200529,20
af,20200530,3
af,20200607,2
af,20200612,13
af,20200616,2
af,20200617,6
af,20200618,11
af,20200619,1
af,20200622,1
af,20200624,11
af,20200625,28
af,20200701,4
af,20200706,9
af,20200707,4
af,20200708,1
af,20200714,2
af,20200715,3
af,20200716,1
af,20200717,8
af,20200718,72
af,20200720,5
af,20200721,5
af,20200722,6
af,20200723,66
af,20200724,24
af,20200725,4
af,20200727,11
af,20200728,92
af,20200729,1
af,20200805,2
af,20200806,11
af,20200807,2
af,20200810,26
af,20200811,4
af,20200824,19
af,20200825,13
af,20200907,7
af,20200908,1
af,20200923,10
af,20200925,1
af,20201002,10
af,20201003,21
af,20201016,4
af,20201017,2
af,20201023,25
af,20201024,4
af,20201027,35
af,20201104,68
af,20201105,752
af,20201106,6
af,20201116,1
af,20201117,4
af,20201123,13
af,20201124,4
af,20201130,3
af,20201212,79
af,20201216,8
af,20201218,15
af,20201219,78
af,20201221,6
af,20201222,11
af,20201223,5
af,20201224,2
af,20210114,8
af,20210129,18
af,20210130,49
af,20210131,30
af,20210203,1
af,20210215,6
af,20210216,3
af,20210222,1
af,20210223,4
