language,0
en,3543144
de,314582
es,262383
fr,254352
nl,199919
pt,145056
sk,93613
it,88308
ar,84032
hr,75542
cs,52355
ru,45112
ko,43493
da,32893
fi,31008
no,29596
zh-CN,26897
fa,26674
et,25920
mk,25477
ja,25341
bn,24190
hu,20672
tr,19934
pl,19692
ca,19451
sl,19305
vi,18694
sv,17193
id,17069
sr,12842
ro,12511
hi,11694
th,10887
eu,10406
gl,10278
el,8945
zh-TW,8067
ht,7936
oc,7565
ga,7518
tl,7086
ms,6949
af,6321
bg,6271
is,6178
cy,6148
he,5291
uk,4587
ur,3853
lv,3634
lt,3622
ta,3411
sw,3181
sq,2707
kn,2542
ast,2512
mt,2336
mr,2294
gu,2255
br,1325
an,1248
ml,1127
so,1013
te,817
pa,395
ne,372
be,333
km,304
yi,29
